Method,Backbone,R1,R3,R4,R5,R6,Avg
Alexnet,Alexnet,49.9,44.65,45.15,47.47,37.47,44.93
VGG-16,VGG-16,72.32,72.53,74.95,71.11,61.31,70.44
ResNet-50,ResNet-50,70.0,64.24,74.04,72.63,54.85,67.15
SimCLR (FT),ResNet-50,53.64,45.66,45.35,50.4,35.86,46.18
SimCLR (L),ResNet-50,70.0,66.57,64.24,63.88,54.44,64.73
MoCo v2,ResNet-50,42.93,38.59,38.99,38.99,31.82,38.26
MoCo v2 (L),ResNet-50,62.75,56.16,51.46,56.94,49.49,55.36
BYOL (FT),ResNet-50,55.35,48.38,50.4,49.6,43.94,49.53
BYOL (L),ResNet-50,71.11,66.16,65.76,64.65,56.06,64.75
Cutout (16),ResNet-50,70.2,61.92,62.32,69.7,54.24,63.68
Cutout (8),ResNet-50,66.87,64.04,67.78,73.43,56.36,65.7
ADL (0.25),ResNet-50,53.54,54.34,55.15,52.83,41.9,51.56
ADL (0.5),ResNet-50,66.67,58.89,64.75,68.48,49.7,61.7
Cutmix,ResNet-50,65.56,59.19,64.24,68.79,53.64,62.28
DCL,ResNet-50,76.87,73.84,76.16,76.16,62.93,73.19
MaskCOV,ResNet-50,79.8,74.65,79.6,78.28,66.97,75.86
ViT,ViT-B,69.29,64.55,70.4,71.01,59.49,66.95
DeiT,ViT-B,73.03,70.4,69.09,74.65,60.51,69.54
TransFG,ViT-B,74.95,74.55,74.24,76.26,62.61,72.16
SIM-Trans,ViT-B,69.9,73.23,73.13,73.94,63.23,70.69
Hybrid ViT,ViT-B&ResNet-50,77.17,76.97,74.75,76.36,62.53,73.56
Mix-ViT,ViT-B&ResNet-50,79.29,77.17,77.98,79.19,67.88,76.3
CLE-ViT,Swin-B,80.81,83.33,84.24,86.36,75.96,82.14
CSDNet,ResNet-50,81.92,77.47,81.82,79.7,69.19,78.02
CSDNet,ViT-B,75.15,76.57,77.27,78.18,69.8,75.39
CSDNet,Swin-B,83.84,85.15,85.15,84.85,76.87,83.17
